name,slug,description,spots,image,status
"Sigiriya","sigiriya","This iconic 5th-century rock fortress is a UNESCO World Heritage site and perhaps the country's most recognizable landmark. Visitors can climb the steep stairs to explore the ruins of an ancient palace on the summit and see the famous colorful frescoes.","Sigiriya Lion Rock, Pidurangala Rock, Village tour, Minneriya/Kaudulla/Eco Park Safari, Elephant ride.","frontend/img/desti (2).png",1
"Kandy","kandy","Located in the heart of Kandy, the Temple of the Sacred Tooth Relic houses the relic of the tooth of the Buddha. It is a major pilgrimage site and a central piece of Sri Lanka's cultural identity.","Temple of the Tooth Relic, Royal Botanic Garden, Gem Museum, Bahirawa Kanda Temple.","frontend/img/desti (3).png",1
"Anuradhapura","anuradhapura","This vast 4th-century BCE capital is the cradle of Sri Lankan civilization and a UNESCO World Heritage site. It is home to the sacred Jaya Sri Maha Bodhi and massive brick stupas like Jetavanaramaya.","Jaya Sri Maha Bodhi, Ruwanwelisaya, Thuparamaya, Jetavanaramaya, Abhayagiri Vihara.","frontend/img/desti (1).png",1
"Polonnaruwa","polonnaruwa","The second ancient capital of Sri Lanka, this site is famous for its well-preserved ruins and the magnificent Gal Vihara, where four large Buddha statues are carved into a single granite rock.","Gal Vihara, The Royal Palace, Vatadage, Parakrama Samudra (Sea of Parakrama).","frontend/img/desti (1).png",1
"Nuwara Eliya","nuwara-eliya","Nuwara Eliya, often called 'Little England', is famous for its cool climate, tea plantations, and colonial architecture. It is the heart of Sri Lanka's tea country.","Seetha Amman Temple, Gregory Lake, Horton Plains, Tea Factory, Moon Plains.","frontend/img/desti (6).png",1
"Ella","ella","Ella is a small town in the Badulla District of Uva Province, Sri Lanka. It is approximately 200 kilometres east of Colombo and is situated at an elevation of 1,041 metres above sea level.","Nine Arch Bridge, Little Adam's Peak, Ella Rock, Kumbukara Ella, Ravana Waterfall.","frontend/img/desti (1).png",1
"Yala","yala","This is Sri Lanka's most famous wildlife destination, known for having one of the highest leopard densities in the world.","Yala National Park (Leopard safaris).","frontend/img/desti (5).png",1
"Hiriketiya","hiriketiya","Hiriketiya Beach is a stunning horseshoe-shaped bay on Sri Lanka's south coast, famous for its excellent surf breaks and laid-back atmosphere.","Hiriketiya Beach (Best for surfing).","frontend/img/desti (4).png",1
"Mirissa","mirissa","Mirissa is a small town on the south coast of Sri Lanka, located in the Matara District of the Southern Province. It is a popular tourist destination, known for its beaches and nightlife.","Whale watching, Coconut Tree Hill Viewpoint, Secret Beach.","frontend/img/desti (4).png",1
"Galle","galle","This historic walled city on the southern coast blends Portuguese, Dutch, and British colonial influences. It feels like a Mediterranean village in the tropics.","Galle Dutch Fort, Jungle Beach, Unawatuna Beach, Japanese Peace Pagoda.","frontend/img/desti (4).png",1
"Bentota","bentota","Bentota is a coastal town in Sri Lanka, located in the Galle District of the Southern Province. It is a popular tourist destination, known for its beaches and water sports.","Nice beach for water activities and water sports.","frontend/img/desti (4).png",1
"Wilpattu","wilpattu","Known as the ""Land of Lakes,"" this is Sri Lanka’s largest and oldest national park, famous for its unique natural water basins called Willus.","Jeep safaris, Bird watching, Leopard and Sloth Bear spotting at the ""Willus.""","frontend/img/desti (5).png",1
